PDF;file;title;author1;pseudonyme1;pseudonyme2;date;GALLICA;DigitalSource-1;DigitalSource-2;GOOGLE/INTERNET ARCHIVE;DigitalSource-3;refsource;Wikipedia
1;FRA04701_Bourget.xml;Laurence Albani;Paul Bourget ;Bourget, Paul ;;1919;;#unknownSource;#unknownSource;https://archive.org/details/laurencealbani00bouruoft/page/n11/mode/2up;;digitalSource;https://fr.wikipedia.org/wiki/Paul Bourget 
1;FRA04801_Corday.xml;Les révélées;Michel Corday ;Corday, Michel ;;1909;;http://www.gutenberg.org/files/51703/51703-h/51703-h.htm;http://www.gutenberg.org/files/51703/51703-h/51703-h.htm;https://archive.org/details/lesrvlesro00cord;;digitalSource;https://fr.wikipedia.org/wiki/Michel Corday 
1;FRA04901_Dumas.xml;La Reine Margot - Tome I;Alexandre Dumas ;Dumas, Alexandre;;1845;https://gallica.bnf.fr/ark:/12148/bpt6k66070t;https://www.atramenta.net;https://www.atramenta.net;;;digitalSource;https://fr.wikipedia.org/wiki/Alexandre Dumas 
1;FRA05101_Eekhoud.xml;L'Autre vue;Georges Eekhoud;Georges Eekhoud;;1904;https://gallica.bnf.fr/ark:/12148/bpt6k62081h;http://www.bibebook.com/ebook/libre/georges_eekhoud-lautre_vue.epub;http://www.bibebook.com/ebook/libre/georges_eekhoud-lautre_vue.epub;;;digitalSource;https://fr.wikipedia.org/wiki/Georges Eekhoud
1;FRA05201_Feuillet.xml;La petite comtesse;Octave Feuillet ;Feuillet, Octave;;1856;https://gallica.bnf.fr/ark:/12148/bpt6k5853824d;http://www.bibebook.com/search/978-2-8247-1448-6;http://www.bibebook.com/search/978-2-8247-1448-6;;;digitalSource;https://fr.wikipedia.org/wiki/Octave_Feuillet
1;FRA05301_Galopin.xml;Le Docteur Omega (Aventures fantastiques de trois Français dans la Planète Mars);Arnould Galopin ;Galopin, Arnould ;;1906;https://gallica.bnf.fr/ark:/12148/bpt6k15091935;http://www.bibebook.com/ebook/libre/arnould_galopin-le_docteur_omega_aventures_fantastiques_de_trois_francais_dans_la_planete_mars.epub;http://www.bibebook.com/ebook/libre/arnould_galopin-le_docteur_omega_aventures_fantastiques_de_trois_francais_dans_la_planete_mars.epub;;;digitalSource;https://fr.wikipedia.org/wiki/Arnould Galopin 
1;FRA05401_Kock.xml;Madeleine;Paul de Kock ;Kock, Paul de ;;1849;https://gallica.bnf.fr/ark:/12148/bpt6k5838965p;http://www.gutenberg.org/files/32113/32113-h/32113-h.htm;http://www.gutenberg.org/files/32113/32113-h/32113-h.htm;;;digitalSource;https://fr.wikipedia.org/wiki/Paul de Kock
1;FRA05501_Lermina.xml;L'effrayante aventure;Jules Lermina ;Lermina, Jules;;1910;https://gallica.bnf.fr/ark:/12148/bpt6k62658n;http://www.bibebook.com/search/978-2-8247-0851-5;http://www.bibebook.com/search/978-2-8247-0851-5;;;digitalSource;https://fr.wikipedia.org/wiki/Jules Lermina 
1;FRA05602_Lesueur.xml;Le marquis de Valcor;Daniel Lesueur ;Lesueur, Daniel ;;1904;;http://www.gutenberg.org/ebooks/50997;http://www.gutenberg.org/ebooks/50997;https://archive.org/details/lemarquisdevalco00lapauoft/page/n5/mode/2up;;digitalSource;https://fr.wikipedia.org/wiki/Daniel Lesueur
1;FRA05702_Maquet.xml;La Maison du baigneur;Auguste Maquet;Auguste Maquet;;1857;https://gallica.bnf.fr/ark:/12148/bpt6k5834334t;https://gallica.bnf.fr/ark:/12148/bpt6k5834334t;;;;digitalSource;https://fr.wikipedia.org/wiki/Auguste Maquet
1;FRA05801_Mille.xml;Louise et Barnavaux;Pierre Mille;Pierre Mille;;1912;http://gallica.bnf.fr/ark:/12148/bpt6k61362974;http://gallica.bnf.fr/ark:/12148/bpt6k61362974;;;;printSource;https://fr.wikipedia.org/wiki/Pierre Mille
1;FRA05901_Moselly.xml;Terres lorraines;Emile Moselly ;Moselly, Emile;;1907;;http://www.bibebook.com/search/978-2-8247-1132-4;http://www.bibebook.com/search/978-2-8247-1132-4;https://archive.org/details/terreslorrainesr00mose/page/2/mode/2up;;digitalSource;https://fr.wikipedia.org/wiki/Emile Moselly 
1;FRA06001_Rebell.xml;Les Nuits chaudes du Cap français;Hugues Rebell ;Rebell, Hugues;;1902;https://gallica.bnf.fr/ark:/12148/bpt6k241281c;https://gallica.bnf.fr/ark:/12148/bpt6k241281c;;;;printSource;https://fr.wikipedia.org/wiki/Hugues Rebell
1;FRA06101_Sandeau.xml;Mademoiselle de la Seiglière;Jules Sandeau ;Sandeau, Jules;;1848;https://gallica.bnf.fr/ark:/12148/bpt6k5699005s;https://gallica.bnf.fr/ark:/12148/bpt6k5699005s;;;;printSource;https://fr.wikipedia.org/wiki/Jules Sandeau
1;FRA06201_Viel-Castel.xml;Archambaud de Comborn;Horace de Viel-Castel ;Viel-Castel, Horace de ;;1845;https://gallica.bnf.fr/ark:/12148/bpt6k5607125s;https://gallica.bnf.fr/ark:/12148/bpt6k5607125s;;;;printSource;https://fr.wikipedia.org/wiki/Horace de Viel-Castel
1;FRA06301_Montepin.xml;La porteuse de pain;Xavier de Montépin ;de Montépin, Xavier ;;1884;https://gallica.bnf.fr/ark:/12148/bpt6k5504400t;https://www.ebooksgratuits.com/details.php?book=1329;https://www.ebooksgratuits.com/details.php?book=1329;;;digitalSource;https://fr.wikipedia.org/wiki/Xavier de Montépin 
1;FRA06401_Chandeneux.xml;Les Ménages militaires;Claire de Chandeneux;Claire de Chandeneux;;1876;https://gallica.bnf.fr/ark:/12148/bpt6k6484819g;https://gallica.bnf.fr/ark:/12148/bpt6k6484819g;;;;digitalSource;https://fr.wikipedia.org/wiki/Claire de Chandeneux
1;FRA06501_Gyp.xml;Totote, roman inédit, orné de cent illustrations obtenues par la photographie d'après nature, dont dix planches hors texte (1897);Gyp;Gyp;;1897;http://gallica.bnf.fr/ark:/12148/bpt6k96916946;http://gallica.bnf.fr/ark:/12148/bpt6k96916946;;;;digitalSource;https://fr.wikipedia.org/wiki/Gyp
1;FRA06601_Peladan.xml;Modestie et vanité, roman (La décadence latine, éthopée, XVI);Joséphin Peladan;Peladan Joséphin;;1902;http://gallica.bnf.fr/ark:/12148/bpt6k61451614;http://gallica.bnf.fr/ark:/12148/bpt6k61451614;;;;printSource;https://fr.wikipedia.org/wiki/Jos\u00e9phin Peladan
1;FRA06701_Uchard.xml;La Buveuse de perles;Mario Uchard ;Uchard Mario;;1882;https://gallica.bnf.fr/ark:/12148/bpt6k6557908c;https://gallica.bnf.fr/ark:/12148/bpt6k6557908c;;;;digitalSource;https://fr.wikipedia.org/wiki/Mario Uchard
1;FRA06801_Vaillant.xml;L'Elzévir de maroquin rouge;Victor Vaillant ;Vaillant Victor;;1861;http://gallica.bnf.fr/ark:/12148/bpt6k57182783;http://gallica.bnf.fr/ark:/12148/bpt6k57182783;;;;digitalSource;NONE
1;FRA06901_Vignon.xml;Révoltée !;Claude Vignon;Claude Vignon;;1879;http://gallica.bnf.fr/ark:/12148/bpt6k6540656z;http://gallica.bnf.fr/ark:/12148/bpt6k6540656z;;;;digitalSource;https://fr.wikipedia.org/wiki/Claude Vignon
1;FRA07001_Mendes.xml;Lucignole;Catulle Mendès;Catulle Mendès;;1892;http://gallica.bnf.fr/ark:/12148/bpt6k6553546f;http://gallica.bnf.fr/ark:/12148/bpt6k6553546f;;;;digitalSource;https://fr.wikipedia.org/wiki/Catulle Mendès
1;FRA07101_Blondel.xml;Élise, ou l'éducation particulière;Blondel Adèle ;Adèle Blondel;;1856;http://gallica.bnf.fr/ark:/12148/bpt6k5625757r;http://gallica.bnf.fr/ark:/12148/bpt6k5625757r;;;;digitalSource;NONE
1;FRA07201_Montagne.xml;Le Bâtard de Ravaillac;Édouard Montagne;Édouard Montagne;;1883;http://gallica.bnf.fr/ark:/12148/bpt6k6574517k;http://gallica.bnf.fr/ark:/12148/bpt6k6574517k;;;;digitalSource;https://fr.wikipedia.org/wiki/Édouard Montagne
0;FRA07301_Valgand.xml;Blondine, roman nouveau;Cécile de Valgand  ;Cécile de Valgand;;1853;https://gallica.bnf.fr/ark:/12148/bpt6k5698775j;https://gallica.bnf.fr/ark:/12148/bpt6k5698775j;http://catalogue.bnf.fr/ark:/12148/cb311160052;;;firstEdition;None
0;FRA07401_Leblanc.xml;813 (Huit-Cent-Treize);Maurice Leblanc;Maurice Leblanc;;1910;;https://www.ebooksgratuits.com/ebooks.php;https://www.ebooksgratuits.com/pdf/leblanc_813.pdf;;https://fr.wikisource.org/wiki/813;manuel(ebooksgratuits);https://fr.wikipedia.org/wiki/Maurice Leblanc
1;FRA07501_Darien.xml;Le Voleur;Georges Darien;Georges Darien;;1897;https://gallica.bnf.fr/ark:/12148/bpt6k6101718v;https://www.ebooksgratuits.com/ebooks.php;https://www.ebooksgratuits.com/pdf/darien_le_voleur.pdf;;https://fr.wikisource.org/wiki/Le_Voleur_(Darien);manuel(ebooksgratuits);https://fr.wikipedia.org/wiki/Georges Darien
0;FRA07601_Leroux.xml;La Reine du Sabbat;Gaston Leroux;Gaston Leroux;;1913;;https://www.ebooksgratuits.com/ebooks.php;https://www.ebooksgratuits.com/pdf/leroux_reine_du_sabbat.pdf;;;manuel(ebooksgratuits);https://fr.wikipedia.org/wiki/Gaston_Leroux
94;;;;;;;;;;;;;
